Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-4.38422850545704E-17,5.84283677754296E-18,-1.48723553053516E-16,0,0,0,0.772800000000001,0.00668137120000001,3.0025479819219E-49,4.90369492621039E-33,0.0067378496,6.92893375813485E-19,0.0115355216,0,0,0,0,0,0,package://URDF2/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://URDF2/meshes/base_link.STL,,Mid-2,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_comp,-0.0646447944006999,2.08166817117217E-17,3.58527119395351E-18,0,0,0,0.329184,0.002396417184,-8.43724224804088E-20,4.21818887691959E-19,0.00251953318651969,3.20053593725935E-19,0.000695389666519684,0,0,0,0,0,0,package://URDF2/meshes/left_comp.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://URDF2/meshes/left_comp.STL,,Left-1,Origin_left_prism,Axis_left_prism,left_prism,prismatic,-0.14279,0,0,1.5708,0,0,base_link,1,0,0,0,0.007,0,0.1,,,,,,,,
right_comp,0.0646447944006999,1.77404372194233E-17,2.05850332277219E-17,0,0,0,0.329184,0.002396417184,1.04333341179577E-19,4.22893026994462E-19,0.00251953318651968,7.67976538843899E-20,0.000695389666519685,0,0,0,0,0,0,package://URDF2/meshes/right_comp.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://URDF2/meshes/right_comp.STL,,Right-1,Origin_right_prism,Axis_right_prism,right_prism,prismatic,0.13782,0,0,1.5708,0,0,base_link,1,0,0,0,0.007,-0.1,0,,,,,,,,
